parameter,value,mean_makespan,stddev,seeds
flexibility,0.0,132.05,17.172422812846122,20
flexibility,0.2,82.15,7.08798093142261,20
flexibility,0.4,61.55,7.458481572573673,20
flexibility,0.6,61.55,7.458481572573673,20
flexibility,0.8,50.85,5.7516587996306265,20
flexibility,1.0,43.45,7.096885899722794,20
bottleneck_probability,0.0,61.55,7.458481572573673,20
bottleneck_probability,0.2,57.8,6.871757608616513,20
bottleneck_probability,0.4,58.35,9.223967635858683,20
bottleneck_probability,0.6,55.65,6.682853156832752,20
bottleneck_probability,0.8,58.35,9.985647595160609,20
bottleneck_probability,1.0,56.05,5.906953975032978,20
